"name","registered","times_kicked","geolocation","nb_player_kills","nb_mob_kills","nb_deaths","avg_ping","nb_sessions","longest_session","avg_session","active_playtime","afk_time","favorite_world"
"Stoupy51","1565641104777","77","France","2016","1879","3482","32.300615484288954","4031","33517755","1071126.3523","2964399216","1353311110","Switch"
"Remelta","1673102504042","29","France","109","584","427",NULL,"1833","29867994","1585574.6623","2495447683","410910673","BuildSurvisland"
"GoldVision98","1506175517149","54","France","824","486","1315","32.85735512630015","1695","32036811","1846512.8348","2827346700","302492555","Switch"
"Totay_","1676732345833","1","France","5","98","17","39.64932126696833","111","16718895","1656564.2703","125079115","58799519","S14 - Phain"
"Falmo_","1673102330791","95","France","3","23","80","47.648148148148145","377","14999791","1536544.2679","521224093","58053096","GLD_JN_S10"
"Redemoles","1677168158324","21","France","542","778","1343","37.768263943440694","1982","23140194","1020483.8421","1405734569","616864406","test_uhc_1"
"Antoineuuh","1677283055614","8","France","29","45","102","117.8603896103896","42","9297429","1208341.1429","49998800","751528","TribeCivilization"
"EdenMan","1673102766389","2","France","39","214","109","31.050505050505052","267","14583944","1846816.4419","436137988","56962002","S11 - Ecera"
"Maarcouscous","1639235696574","28","France","193","1028","749","31.829927628778204","2414","25694924","1198706.6976","2491625898","402052070","BuildSurvisland"
"airdox_","1681143380626","6","France","157","154","962","232.60264900662253","574","28908695","727164.5296","323947854","93444586","Switch"
"Bomby_","1506163253829","13","France","245","356","589","27.40537449971412","2237","28245455","1963682.4703","3507004721","885752965","Switch"
"Shazin","1667257272009","103","France","531","1144","1552","173.58681522748375","3672","31583461","1098945.8636","3128898131","906431080","Switch"
"BerenGaldos","1584821525207","1","France","42","26","220",NULL,"124","20004913","2438832.3306","210878609","91536600","LKS_Bancal_S13"
"Akariaa","1677872555583","3","France","53","26","138",NULL,"273","14927132","2996442.2125","665229588","152799136","S20 - Jewel"
"DontBeAKidLuca","1595616535536","5","France","6","41","24","45.12751677852349","64","13953645","1596037.6563","101107747","1038663","S09 - Zhen Zhou"
"YuriNanami","1669493599425","8","France","94","116","180","29.08411214953271","260","17838420","2333565.0038","557105400","49621501","S14 - Phain"
"luigimario12","1682171515771","22","France","129","98","514","67.14826498422713","654","15687059","2305366.5902","1379478246","128231504","S11 - Ecera"
"Oraclette","1631368604281","74","France","166","1411","736","58.75754087036611","1573","25975958","1572569.1856","2215897978","257753351","Switch"
"Nintasma","1677946035430","0","France","0","34","2",NULL,"36","13543564","2605182.6667","80889920","12896656","S09 - Zhen Zhou"
"scartvol","1664710509302","13","France","329","1053","422","36.0979440979441","988","26607647","1242195.1640","1002815201","224473621","BuildSurvisland"
"M4TOUW","1676728422284","72","France","548","2663","364","30.359510453850078","2210","26052412","1481305.8697","2651459832","622226140","BuildSurvisland"
"Eca_","1673101151801","10","France","116","34","210",NULL,"290","16553043","1985895.5517","524861776","51047934","Switch"
"math730","1673100211893","39","France","70","559","276","162.8153153153153","2016","24588799","781741.4896","1331137631","244853212","BuildSurvisland"
"xNicely","1681048170681","1","France","37","55","56",NULL,"194","19362470","1683710.7062","295511722","31128155","goatvivor"
"Katar0s","1677959739580","1","France","0","0","1",NULL,"26","9814634","892886.5000","22707016","508033","LYK_Bancalvivor_S10"
"Rafloppa","1678478606773","3","France","53","67","36","58.62376237623762","20","9982940","1489493.9000","29789878","0","S09 - Zhen Zhou"
"ArtiGrrr","1674916752953","26","France","515","486","1324","234.3222748815166","531","33408449","1740258.7910","783400641","140676777","Switch"
"Oceanee_","1667251609666","14","France","194","69","296","39","413","15728191","1783832.0654","592026621","144696022","S11 - Ecera"
"MikoMan","1673102488795","8","France","81","145","227",NULL,"186","17316381","1979869.9140","345156439","23099365","S14 - Phain"
"ManuPourLesIntim","1676124697163","3","France","26","125","120",NULL,"100","14875917","2256572.3400","217608022","8049212","S11 - Ecera"
"Megamat_","1562786717299","2","France","94","157","325","25.285714285714285","286","13724293","2367344.3881","602913647","74146848","S13 - Fafnir's Rest"
"_TMH","1588358436591","31","France","552","715","617","64.172","317","18975850","1830906.6341","521728160","58669243","Switch"
"ClementDD","1681047256881","0","France","0","1","3",NULL,"17","10687563","2254591.5294","36054609","2273447","DRRP1"
"Enlaniel","1682870593330","14","France","462","190","1280","164.40758293838863","359","22906964","1396561.3092","484409358","16956152","Switch"
"Luxio_","1679170324025","14","France","812","707","2144","175.4311111111111","495","28149620","1941162.9273","863208098","97667551","Switch"
"feaudive","1688583671458","4","France","24","50","350",NULL,"68","14411309","2064171.7206","136651193","3712484","S17 - Parrot's Kingdom"
"DenisBrogniartBG","1682945876833","14","France","125","64","428","25.05","49","9724725","1564186.4286","76205142","439993","Switch"
"titou2000","1677268955871","5","France","82","35","141","66.16037735849056","29","13662215","2399538.9310","65070208","4516421","Switch"
"TreekoZ","1678447465689","36","Canada","806","381","1266","193.78955696202533","727","32930160","1097811.2077","721076005","77032743","Switch"
"Belioz","1689516135636","0","France","37","66","36",NULL,"30","11612778","3490391.0667","101672722","3039010","S14 - Phain"
"Thitanas","1690730911252","39","Belgium","641","648","1523","65.57227488151659","596","29987858","1358628.8758","744237920","65504890","Switch"
"PandaOne_","1677872932083","4","France","57","74","365",NULL,"73","11727057","1824593.8356","124721406","8473944","GLD_JN_S10"
"JCleJambon","1676821843612","10","Canada","28","313","142","179.07960199004975","135","27678808","1469789.1111","176553778","21867752","LobbySurvisland"
"Vaath01","1693054135497","5","France","9","119","41","47.59348198970841","90","12737996","2366070.8556","202222017","10724360","S13 - Fafnir's Rest"
"RoXxeeer","1693056574176","4","France","150","324","503","38.4","445","17826663","2822365.7371","1160260257","95692496","S14 - Phain"
"JulDragonne","1693061754820","8","France","399","572","879","51.483914209115284","512","26075062","1927093.8516","836967529","149704523","Switch"
"Mizanathos","1693066055268","12","France","354","1393","887",NULL,"1144","13644776","1026511.9554","1069575720","104753957","S14 - Phain"
"Thyxou","1680962559158","4","France","4","27","36",NULL,"79","13928582","2178810.6582","166469738","5656304","S20 - Jewel"
"Ragiel_","1595616477971","6","France","255","309","767","33.939890710382514","640","14024539","1767094.4234","991414809","139525622","S14 - Phain"
"MrRaichu","1693083230558","0","Canada","0","1","5",NULL,"31","13084442","2864647.8065","86593721","2210361","S14 - Phain"
"Unicorn_Zoe","1677271806718","0","France","54","13","89",NULL,"33","11839193","1365100.5758","42951850","2096469","Switch"
"_Flo04","1693145588984","3","France","218","100","426",NULL,"96","18719037","2941078.7604","262429495","19914066","Switch"
"Poppiz_Ugo","1677870529783","6","France","46","315","311","125.89108910891089","291","16493592","1363173.9691","338681968","58001657","Switch"
"Xiaojuuun","1681497659427","33","France","284","159","1262","73","594","29381458","1388125.6397","705902122","118644508","Switch"
"Champimeuh28","1693224250380","1","France","7","1","55","32.158490566037734","64","17415219","3815215.6875","225415010","18758794","S14 - Phain"
"polocascroute","1693236906559","11","France","122","378","349","65.26466380543634","337","16542735","2257107.6617","698302548","62342734","GLD_JN_S10"
"Shalamin","1693309579950","12","France","11","155","59",NULL,"290","18193898","1118526.7621","288497109","35875652","S11 - Ecera"
"Kchouky","1693314452293","30","France","726","581","900","51.30891438658429","922","32452812","1595742.9837","1148571421","322703610","LobbySurvisland"
"Notitou","1693333959412","1","France","100","345","409",NULL,"69","12109021","2172867.4493","141575284","8352570","S14 - Phain"
"Akwaden","1676815587912","20","France","184","724","247","75.72258064516129","997","22556369","1374030.0532","1260410883","109497080","BuildSurvisland"
"SISS0U","1693494135469","21","France","127","161","292","197.27702702702703","340","13779295","1605768.9147","482144998","63816433","S14 - Phain"
"Fhara","1693555428196","69","France","236","551","391","30.896520354787356","1230","21715770","1918413.5455","2003022354","356626307","BuildSurvisland"
"Noereau","1677959978730","0","France","19","88","13","37.56938775510204","78","16584748","2506995.2051","178984064","16561562","S14 - Phain"
"OfChara","1682880766061","50","France","1429","704","1629","82.97902097902097","705","33061708","2290463.6638","1370025195","244751688","Switch"
"Thakeax","1676733272982","12","France","219","218","556",NULL,"542","29374212","1207263.0018","569333746","85002801","Switch"
"Shxmeless","1693742981446","5","France","81","124","63","79.39285714285714","191","15140528","1502807.2827","240948135","46088056","LobbySurvisland"
"_Megabyte","1676819725662","15","Canada","0","12","4","1585.7659574468084","65","14199400","1845446.0923","85002887","34951109","GLD_JN_S10"
"Kuery_","1676817392812","4","France","1","96","21","46.10144927536232","121","14099636","2488008.9835","287351280","13697807","S13 - Fafnir's Rest"
"Nekoss__","1676728915635","5","France","74","15","188","210.0670731707317","81","13109346","2116240.8272","163478741","7936766","S15 - Pandora"
"Islijelis","1677337336327","5","France","17","17","71",NULL,"123","14203204","2390366.7073","257519102","36496003","S15 - Pandora"
"matthloc","1694354403626","0","France","2","8","44",NULL,"70","19490866","2004674.9714","136241193","4086055","goatvivor"
"Arobaze","1676815766363","8","France","15","32","37","84.34558823529412","79","11150000","1856842.6835","136369428","10321144","world"
"Timocaf","1676815405912","1","France","60","14","81",NULL,"142","13047228","1047406.3310","129192775","19538924","S15 - Pandora"
"Filouche","1677431261245","6","Canada","52","59","70",NULL,"166","15929036","1956488.5422","284447219","40329879","S20 - Jewel"
"MrCT_","1695476971341","1","France","155","27","136",NULL,"51","14850530","2100834.1765","103021686","4120857","Switch"
"Viken78","1676826595412","8","France","37","681","339","25.08653846153846","211","13431314","1611281.1611","263138752","76841573","S20 - Jewel"
"LeGrandPigre","1677872216633","0","France","49","102","81",NULL,"52","8676486","954403.7500","47347343","2281652","RDM_BHC_240927"
"Antho60","1677355390776","0","France","4","0","10",NULL,"34","11273728","1544405.2059","46792313","5717464","DRRP1"
"Hiruko_Senpai","1696168115825","1","France","3","51","20","30.95221843003413","28","7353180","840067.4286","21879401","1642487","RDM_BHC_250316"
"ShoupZ","1677873882333","0","Switzerland","2","1","20",NULL,"34","6052351","715346.7941","22731872","1589919","SHZ_Fate2024"
"Enkero","1677874048733","0","France","23","146","114","35.809375","123","20798232","796815.0325","75685770","22322479","test_uhc_1"
"Tnt_79","1516873815000","7","France","30","239","84","28.551864619241616","391","28849141","2127711.4450","711066103","120869072","DRRPLongue"
"Canfav_","1584822483402","6","France","154","155","212","39.003207698476345","214","15390019","2686613.0327","486042067","88893122","S20 - Jewel"
"Yoddle_Yoddle","1677356074176","2","Switzerland","43","73","75",NULL,"45","10188549","1614716.5778","69335921","3326325","DRRP1"
"Lawtank","1685731527164","5","France","151","88","212","401.93650793650795","165","21106632","2379897.1939","351531291","41151746","Switch"
"CacakulotteV3","1701616365232","3","Belgium","0","30","1","35.23711340206186","8","4179321","872117.2500","6440658","536280","RDM_Fate2412"
"TitoW_","1701962636254","0","France","22","5","11",NULL,"41","11719325","2205146.9512","87619171","2791854","S16 - Lisrina"
"Treyyyl_","1702040757060","1","France","67","175","186",NULL,"166","28215008","2096973.1446","301248785","46848757","Switch"
"LykosMC","1702043047804","10","France","230","173","528",NULL,"1174","21041780","904067.3177","930350372","131024659","LKS_Bancal_S13"
"Marika_a","1702069535944","0","France","37","29","66",NULL,"47","15631543","2361652.5532","106718818","4278852","LKS_Bancal_S13"
"Piloup974","1702248748343","5","France","104","6","37",NULL,"127","20880389","2487585.4016","265892067","50031279","S18 - Alien Planet"
"Kazybtw","1682537279301","0","France","0","53","8",NULL,"71","14035949","2806408.2817","186856945","12398043","S16 - Lisrina"
"Thimmy74","1702324911683","7","France","7","0","26","348.7830188679245","116","18723828","2506685.8017","251323822","39451731","LobbySurvisland"
"UltimateAce","1702558563483","3","France","2","13","24","139.9433962264151","53","13525368","2534427.3774","132939420","1385231","S16 - Lisrina"
"Osifou","1506163207926","6","France","81","201","155","20.374429223744293","470","19467095","2076567.8532","854732158","121254733","goatvivor"
"Luxy3","1702670141891","8","France","537","135","676","28.038817005545287","386","19500714","2155442.1839","761372823","70627860","goatvivor"
"Fannne","1702670618196","1","France","293","83","368","34.896678966789665","163","19661431","1593577.6810","242905206","16847956","Switch"
"Alnwick62","1702749407457","4","France","16","30","24",NULL,"235","13772153","1136182.2383","259561002","7441824","S16 - Lisrina"
"HirooCL","1703270396044","8","France","154","141","246","182.98557692307693","150","15045369","1949754.9467","279994364","12468878","Switch"
"Wormax","1703360390830","6","France","136","89","453",NULL,"166","13780721","2026812.7711","305837146","30613774","Switch"
"TheHernest","1682880451861","0","France","8","145","26",NULL,"38","15246003","1665976.1053","61759067","1548025","S11 - Ecera"
"KerKel","1703627198023","11","France","61","33","199","163.5","105","12902801","1398872.5238","144409617","2471998","S17 - Parrot's Kingdom"
"ChoKoSenpai","1703631926921","1","France","6","0","5",NULL,"75","10993628","1966915.5467","67105645","80413021","LobbySurvisland"
"PopcornRazer","1703794943609","0","France","5","76","30",NULL,"90","18723552","2812529.4556","223888868","29238783","LobbySurvisland"
"Prince_Redbull","1703878197627","1","France","20","93","128",NULL,"93","15033610","3141872.1613","270258505","21935606","Bancalvivor_S3"
"Mrfox4","1677867163633","0","France","53","301","44","36.29651162790697","116","17780933","2229015.7931","241191750","17374082","S14 - Phain"
"TheRedMan88","1682259176992","4","France","5","9","59","233.08","33","14062139","2057024.6667","64630694","3251120","S15 - Pandora"
"Faeten","1677871675333","4","France","59","133","118","38.129629629629626","65","12627616","1710484.6308","97938378","13243123","S18 - Alien Planet"
"ImFormal","1704640642646","2","France","4","13","16",NULL,"94","12190213","1589566.7553","142327486","7091789","S19 - Alunnius"
"Makisan_","1704647262349","8","France","188","304","389","62.45655877342419","351","12169961","1403038.7436","453782026","38684573","S18 - Alien Planet"
"DontBeAKidKelvin","1677873302433","5","Switzerland","18","276","14","42.56635071090047","78","15650738","1797167.0897","137460374","2718659","S20 - Jewel"
"deltariss","1705609606045","1","France","8","50","84",NULL,"44","12662972","1604354.9318","66732719","3858898","S22 - Prehistoric Canyon"
"SimonzeMK","1682171523321","2","France","31","3","52",NULL,"91","9515742","1640856.2527","128810316","20507603","S15 - Pandora"
"Gldxn","1706451963107","0","France","0","0","0",NULL,"4","5678266","1887256.5000","7549026","0","S16 - Lisrina"
"DarkGiant24","1682258562591","11","Canada","2","16","12","1225.9105263157894","31","6513655","834510.9677","24098194","1771646","TribeCivilization"
"DeadRed","1707058246582","0","France","8","31","13",NULL,"40","15435523","2613389.0500","100939790","3595772","S20 - Jewel"
"tgi74","1676731684532","0","France","0","0","0",NULL,"42","13877065","2290025.9048","76978218","19202870","S20 - Jewel"
"_PtitEven","1707575037526","0","France","73","23","133",NULL,"274","17841449","2298337.9051","563581184","66163402","S14 - Phain"
"Sk0rmyUwU","1707661902811","4","France","216","713","348",NULL,"157","19440179","2700818.4268","372771142","51257351","goatvivor"
"Shadow_Laviko","1708199272297","0","France","0","0","5","30.558086560364465","51","13349283","2318668.1373","100601520","17650555","DRRPLongue"
"Frogounnet","1708199979085","6","France","60","47","183","84.14128728414443","102","14871607","2766166.5490","265143239","17005749","DRRPLongue"
"bribriac","1709055291748","11","France","48","615","140","118.58093797276854","266","12698297","1628356.8534","369922918","63220005","S18 - Alien Planet"
"NekoZ18_","1709158774035","1","France","107","143","154",NULL,"100","12224090","1944578.8200","182567015","11890867","S18 - Alien Planet"
"Loumardes","1709308088243","0","France","2","5","58",NULL,"25","3599268","587760.2400","13668492","1025514","Switch"
"Skuterr","1709332272469","3","France","176","450","603","45.78386605783866","295","17645870","2634408.7525","728883934","48266648","S14 - Phain"
"Ahyoli","1709665607247","0","France","46","18","110","32.13394495412844","64","13393868","1784999.1875","99391087","14848861","S14 - Phain"
"ElFuZzion","1709753642154","25","France","471","377","286","36.05423213380639","619","19212177","1690938.4604","922128065","124562842","goatvivor"
"BaSsilA","1709764868898","5","France","6","279","44",NULL,"75","18357953","2297732.5733","163729562","8600381","goatvivor"
"Nelnaa","1709926823760","0","France","3","5","16",NULL,"21","10941219","2689439.4762","54279209","2199020","S19 - Alunnius"
"Shounay","1676729134632","0","France","0","0","2",NULL,"13","8104784","1636761.3077","20157831","1120066","S17 - Parrot's Kingdom"
"Fourios","1710025064613","0","France","0","5","16",NULL,"26","10586855","1781430.5769","43431592","2885603","S19 - Alunnius"
"Aphtrack","1710184570962","0","France","18","15","95",NULL,"80","13272853","2050780.0625","164062405","0","S18 - Alien Planet"
"Soulivan71","1710351478837","0","France","0","0","1",NULL,"16","5870882","924495.9375","14609636","182299","BuildSurvisland"
"Ender_oO","1506263173723","4","France","52","200","124","29.78787878787879","278","17371807","2261034.8777","567813631","60754065","goatvivor"
"beXnope","1710441251636","3","France","5","376","35",NULL,"81","13534238","1736769.9877","137417312","3261057","S17 - Parrot's Kingdom"
"Comte_L","1677958530280","0","Switzerland","0","126","9","48.14119922630561","36","10162409","1275583.5278","43787998","2133009","GLD_JN_S10"
"cozotidg","1710532669347","1","France","52","133","81","28.22911051212938","71","18026831","1183437.7324","78735383","5288696","LKS_Bancal_S13"
"Juliespl","1710701595077","4","France","74","308","257","417.6842105263158","198","13264901","1342132.4596","248758465","16983762","Bancalvivor_S3"
"BoursinLeFromage","1710704095264","2","France","47","75","134",NULL,"59","13382817","2593696.3898","146055919","6972168","S18 - Alien Planet"
"Eastwim","1680287898385","2","France","153","362","123",NULL,"62","13218563","2010201.2903","123197239","1435241","S18 - Alien Planet"
"Skykryx","1711224571361","5","France","158","48","262","35.826401446654614","217","23939588","1790091.8848","319360772","69089167","BuildSurvisland"
"_Jeffy","1711392003951","3","France","1","179","32",NULL,"44","13927596","2978016.7273","128695461","2337275","S17 - Parrot's Kingdom"
"Abraxxan","1711566223781","0","France","61","11","12",NULL,"75","12415674","1747708.9333","120487728","10590442","S18 - Alien Planet"
"Xxara","1711568042414","1","France","56","613","88",NULL,"227","13378838","1762146.9163","339764719","60242631","S18 - Alien Planet"
"Phylalix_","1711732109193","0","France","11","251","22",NULL,"22","4322148","836903.9545","18097776","314111","RDM_RD"
"Matasalivo","1712256517290","5","France","100","399","309","92.6","123","14385968","2140947.7073","240898870","22437698","S17 - Parrot's Kingdom"
"TheAlphaX","1712429086731","7","France","20","143","92","71.65760322255791","105","12418168","1696148.9714","167074169","11021473","S22 - Prehistoric Canyon"
"Aqua2b","1713014692651","1","France","0","0","0",NULL,"8","8822775","1508326.1250","12066609","0","FUZ_Bancalvivor"
"VinzMioda","1612641350973","4","France","86","160","73","98.1574074074074","55","13943185","2442424.8182","124360908","9972457","S14 - Phain"
"AdraiK","1677356788727","0","France","15","46","30",NULL,"62","15929755","2373251.0000","143928812","3212750","S20 - Jewel"
"Dark_Ail","1684608569346","0","The Netherlands","5","55","17",NULL,"13","8063716","1549236.3077","19590630","549442","RDM_BHC_240927"
"Feynoox_","1678476766474","0","France","0","0","1",NULL,"9","1581252","401894.2222","3154365","462683","LYK_Bancalvivor_S10"
"TomSawyerWolf","1714915779415","1","France","1","11","11",NULL,"73","15624477","2237730.9315","161151409","2202949","S20 - Jewel"
"Dari76","1687111116772","0","France","0","1","1",NULL,"15","6023378","1744382.4667","23567461","2598276","S18 - Alien Planet"
"Pouka","1714916226015","0","France","0","0","2",NULL,"8","5354092","1527200.3750","11504532","713071","S14 - Phain"
"Lenya__","1676730714033","4","France","0","22","3","194.1578947368421","28","12691897","1927933.3214","52728147","1253986","LYK_Bancalvivor_S10"
